NAME,LOCATION,City,IMAGE,RATING,BOOK NOW
Oyster Inn,Electronic city , Bangalore,https://jiwirooms.com/app/hotel_logo/37981.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Oyster-Inn_BUDGET_STAYS_HOTEL_RWZx
Delta Regency,Madiwala , Bangalore,https://jiwirooms.com/app/hotel_logo/elta2.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Delta-Regency_BUDGET_STAYS_HOTEL_RVUu
Sweet Crystal Homes,Indira Nagar , Bangalore,https://jiwirooms.com/app/hotel_logo/sweet5.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Sweet-Crystal-Homes_BUDGET_STAYS_HOTEL_RWWt
HOTEL Shelton Manyata,HBR layout , Bangalore,https://jiwirooms.com/app/hotel_logo/man5.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/HOTEL-Shelton-Manyata_BUDGET_STAYS_HOTEL_RWUy
Oasis lodge,T dasarahalli , Bangalore,https://jiwirooms.com/app/hotel_logo/oasis2.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Oasis-lodge_BUDGET_STAYS_HOTEL_RVVp
Aster Vue Service Apartments,osborne road , Bangalore,https://jiwirooms.com/app/hotel_logo/aster10.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Aster-Vue-Service-Apartments_BUDGET_STAYS_HOTEL_RWVp
Hotel Maple Green Deluxe,Koramangala , Bangalore,https://jiwirooms.com/app/hotel_logo/20180807_153012-min.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Hotel-Maple-Green-Deluxe_BUDGET_STAYS_HOTEL_RVTu
Krishna comfort,Cottonpet , Bangalore,https://jiwirooms.com/app/hotel_logo/kri4.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Krishna-comfort_BUDGET_STAYS_HOTEL_RVSx
Shree sai suites,ganganagar , Bangalore,https://jiwirooms.com/app/hotel_logo/37571.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Shree-sai-suites_BUDGET_STAYS_HOTEL_RWVw
Hotel Tiara,cauvery layout , Bangalore,https://jiwirooms.com/app/hotel_logo/tia 7.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Hotel-Tiara_BUDGET_STAYS_HOTEL_RWQu
